state,electorate,postcode,population,total_postcode_proportion,proportion
VIC,Indi,3733,346,346,1,Rural
VIC,Indi,3695,359,359,1,Rural
VIC,Indi,3705,367,367,1,Rural
VIC,Indi,3697,424,424,1,Rural
VIC,Indi,3778,426,426,1,Rural
VIC,Indi,3658,429,4838,0.09,Rural
VIC,Indi,3735,435,435,1,Rural
VIC,Indi,3720,467,467,1,Rural
VIC,Indi,3719,471,471,1,Rural
VIC,Indi,3777,492,8053,0.06,Rural
VIC,Indi,3682,527,527,1,Rural
VIC,Indi,3670,589,589,1,Rural
VIC,Indi,3726,665,703,0.95,Rural
VIC,Indi,3698,694,694,1,Rural
VIC,Indi,3699,729,729,1,Rural
VIC,Indi,3740,767,767,1,Rural
VIC,Indi,3687,773,773,1,Rural
VIC,Indi,3713,786,786,1,Rural
VIC,Indi,3694,863,863,1,Rural
VIC,Indi,3669,870,870,1,Rural
VIC,Indi,3700,881,881,1,Rural
VIC,Indi,3701,901,901,1,Rural
VIC,Indi,3688,990,990,1,Rural
VIC,Indi,3763,1069,1069,1,Rural
VIC,Indi,3675,1190,1190,1,Rural
VIC,Indi,3757,1266,6457,0.2,Rural
VIC,Indi,3673,1291,1291,1,Rural
VIC,Indi,3707,1334,1334,1,Rural
VIC,Indi,3683,1386,1386,1,Rural
VIC,Indi,3749,1551,1551,1,Rural
VIC,Indi,3685,1990,1990,1,Rural
VIC,Indi,3723,2113,2113,1,Rural
VIC,Indi,3717,2248,2248,1,Rural
VIC,Indi,3741,2439,2439,1,Rural
VIC,Indi,3714,2689,2689,1,Rural
VIC,Indi,3737,3335,3335,1,Rural
VIC,Indi,3747,3474,3474,1,Rural
VIC,Indi,3666,3563,4191,0.85,Rural
VIC,Indi,3722,3768,3768,1,Rural
VIC,Indi,3678,5237,5237,1,Rural
VIC,Indi,3691,7199,7199,1,Rural
VIC,Indi,3672,8079,8079,1,Rural
VIC,Indi,3677,13533,13533,1,Rural
VIC,Indi,3690,23556,23556,1,Rural
VIC,Isaacs,3202,1766,1766,1,Outer Metropolitan
VIC,Isaacs,3190,2508,8078,0.31,Outer Metropolitan
VIC,Isaacs,3189,4054,4054,1,Outer Metropolitan
VIC,Isaacs,3175,4651,29556,0.16,Outer Metropolitan
VIC,Isaacs,3172,7854,15911,0.49,Outer Metropolitan
VIC,Isaacs,3173,8705,16896,0.52,Outer Metropolitan
VIC,Isaacs,3197,8739,8739,1,Outer Metropolitan
VIC,Isaacs,3194,9469,9469,1,Outer Metropolitan
VIC,Isaacs,3192,13430,15861,0.85,Outer Metropolitan
VIC,Isaacs,3196,18267,18267,1,Outer Metropolitan
VIC,Isaacs,3195,25746,25746,1,Outer Metropolitan
VIC,Jagajaga,3096,1395,1395,1,Inner Metropolitan
VIC,Jagajaga,3090,1795,1795,1,Inner Metropolitan
VIC,Jagajaga,3093,2934,2934,1,Inner Metropolitan
VIC,Jagajaga,3095,3274,21123,0.15,Inner Metropolitan
VIC,Jagajaga,3083,6712,19431,0.35,Inner Metropolitan
VIC,Jagajaga,3087,6825,6825,1,Inner Metropolitan
VIC,Jagajaga,3094,6830,6830,1,Inner Metropolitan
VIC,Jagajaga,3085,8115,9719,0.83,Inner Metropolitan
VIC,Jagajaga,3089,8826,8826,1,Inner Metropolitan
VIC,Jagajaga,3081,9545,9545,1,Inner Metropolitan
VIC,Jagajaga,3079,11613,11613,1,Inner Metropolitan
VIC,Jagajaga,3084,18572,18572,1,Inner Metropolitan
VIC,Jagajaga,3088,20093,20093,1,Inner Metropolitan
QLD,Kennedy,4733,1,249,0,Rural
QLD,Kennedy,4828,79,79,1,Rural
QLD,Kennedy,4807,128,7862,0.02,Rural
QLD,Kennedy,4815,136,13759,0.01,Rural
QLD,Kennedy,4857,137,137,1,Rural
QLD,Kennedy,4881,138,2858,0.05,Rural
QLD,Kennedy,4829,262,422,0.62,Rural
QLD,Kennedy,4859,291,291,1,Rural
QLD,Kennedy,4891,357,357,1,Rural
QLD,Kennedy,4856,398,398,1,Rural
QLD,Kennedy,4823,527,527,1,Rural
QLD,Kennedy,4822,528,528,1,Rural
QLD,Kennedy,4811,556,8493,0.07,Rural
QLD,Kennedy,4855,613,613,1,Rural
QLD,Kennedy,4886,622,622,1,Rural
QLD,Kennedy,4830,718,718,1,Rural
QLD,Kennedy,4861,767,767,1,Rural
QLD,Kennedy,4890,784,791,0.99,Rural
QLD,Kennedy,4858,930,930,1,Rural
QLD,Kennedy,4821,970,970,1,Rural
QLD,Kennedy,4849,1173,1173,1,Rural
QLD,Kennedy,4884,1315,1315,1,Rural
QLD,Kennedy,4887,1459,1459,1,Rural
QLD,Kennedy,4824,1548,1548,1,Rural
QLD,Kennedy,4888,1655,1655,1,Rural
QLD,Kennedy,4882,1823,1823,1,Rural
QLD,Kennedy,4817,1936,20746,0.09,Rural
QLD,Kennedy,4852,2312,2312,1,Rural
QLD,Kennedy,4872,2459,2459,1,Rural
QLD,Kennedy,4885,2743,2743,1,Rural
QLD,Kennedy,4816,2803,5625,0.5,Rural
QLD,Kennedy,4854,3450,3450,1,Rural
QLD,Kennedy,4865,5313,5317,1,Rural
QLD,Kennedy,4883,5877,5877,1,Rural
QLD,Kennedy,4820,6700,6700,1,Rural
QLD,Kennedy,4871,7044,9878,0.71,Rural
QLD,Kennedy,4860,7402,7402,1,Rural
QLD,Kennedy,4850,8129,8129,1,Rural
QLD,Kennedy,4880,8417,8417,1,Rural
QLD,Kennedy,4825,11252,11252,1,Rural
QLD,Kennedy,4869,11303,11303,1,Rural
NSW,Kingsford Smith,2052,427,427,1,Inner Metropolitan
NSW,Kingsford Smith,2019,6193,6193,1,Inner Metropolitan
NSW,Kingsford Smith,2018,6225,9995,0.62,Inner Metropolitan
NSW,Kingsford Smith,2033,6576,6576,1,Inner Metropolitan
NSW,Kingsford Smith,2020,7129,7129,1,Inner Metropolitan
NSW,Kingsford Smith,2032,8579,8579,1,Inner Metropolitan
NSW,Kingsford Smith,2034,13371,13371,1,Inner Metropolitan
NSW,Kingsford Smith,2031,14093,21639,0.65,Inner Metropolitan
NSW,Kingsford Smith,2036,18572,18572,1,Inner Metropolitan
NSW,Kingsford Smith,2035,22571,22571,1,Inner Metropolitan
SA,Kingston,5160,34,34,1,Outer Metropolitan
SA,Kingston,5051,75,10643,0.01,Outer Metropolitan
SA,Kingston,5171,144,4614,0.03,Outer Metropolitan
SA,Kingston,5047,415,5720,0.07,Outer Metropolitan
SA,Kingston,5170,871,871,1,Outer Metropolitan
SA,Kingston,5166,1426,1426,1,Outer Metropolitan
SA,Kingston,5164,3714,3714,1,Outer Metropolitan
SA,Kingston,5168,3806,3806,1,Outer Metropolitan
SA,Kingston,5165,3963,3963,1,Outer Metropolitan
SA,Kingston,5167,4193,4193,1,Outer Metropolitan
SA,Kingston,5161,7635,7635,1,Outer Metropolitan
SA,Kingston,5163,10360,10360,1,Outer Metropolitan
SA,Kingston,5169,11859,11859,1,Outer Metropolitan
SA,Kingston,5158,18141,18205,1,Outer Metropolitan
SA,Kingston,5159,24653,24842,0.99,Outer Metropolitan
SA,Kingston,5162,25558,25558,1,Outer Metropolitan
VIC,Kooyong,3129,3655,10906,0.34,Inner Metropolitan
VIC,Kooyong,3102,4422,4422,1,Inner Metropolitan
VIC,Kooyong,3126,5775,5775,1,Inner Metropolitan
VIC,Kooyong,3123,9981,9981,1,Inner Metropolitan
VIC,Kooyong,3127,10266,13140,0.78,Inner Metropolitan
VIC,Kooyong,3103,10862,10862,1,Inner Metropolitan
VIC,Kooyong,3104,14256,14256,1,Inner Metropolitan
VIC,Kooyong,3124,15126,15126,1,Inner Metropolitan
VIC,Kooyong,3122,15416,15416,1,Inner Metropolitan
VIC,Kooyong,3101,17592,17592,1,Inner Metropolitan
VIC,La Trobe,3159,146,1898,0.08,Outer Metropolitan
VIC,La Trobe,3978,157,943,0.17,Outer Metropolitan
VIC,La Trobe,3812,1368,1790,0.76,Outer Metropolitan
VIC,La Trobe,3783,1826,1826,1,Outer Metropolitan
VIC,La Trobe,3808,2164,2164,1,Outer Metropolitan
VIC,La Trobe,3804,2240,5511,0.41,Outer Metropolitan
VIC,La Trobe,3977,2849,64416,0.04,Outer Metropolitan
VIC,La Trobe,3781,2905,2905,1,Outer Metropolitan
VIC,La Trobe,3782,4979,5927,0.84,Outer Metropolitan
VIC,La Trobe,3807,4987,4987,1,Outer Metropolitan
VIC,La Trobe,3809,5327,5327,1,Outer Metropolitan
VIC,La Trobe,3805,9073,36265,0.25,Outer Metropolitan
VIC,La Trobe,3810,30792,30792,1,Outer Metropolitan
VIC,La Trobe,3806,32149,32476,0.99,Outer Metropolitan
VIC,Lalor,3211,1400,1813,0.77,Outer Metropolitan
VIC,Lalor,3024,13871,14169,0.98,Outer Metropolitan
VIC,Lalor,3030,34114,57053,0.6,Outer Metropolitan
VIC,Lalor,3029,50786,50786,1,Outer Metropolitan
QLD,Leichhardt,4865,4,5317,0,Rural
QLD,Leichhardt,4890,7,791,0.01,Rural
QLD,Leichhardt,4876,1378,1378,1,Rural
QLD,Leichhardt,4881,2720,2858,0.95,Rural
QLD,Leichhardt,4895,2778,2778,1,Rural
QLD,Leichhardt,4871,2834,9878,0.29,Rural
QLD,Leichhardt,4874,2895,2895,1,Rural
QLD,Leichhardt,4877,3164,3164,1,Rural
QLD,Leichhardt,4875,4301,4301,1,Rural
QLD,Leichhardt,4873,4536,4536,1,Rural
QLD,Leichhardt,4878,9080,9080,1,Rural
QLD,Leichhardt,4879,12953,12953,1,Rural
QLD,Leichhardt,4868,14483,14483,1,Rural
QLD,Leichhardt,4870,43987,43987,1,Rural
QLD,Lilley,4009,1,358,0,Inner Metropolitan
QLD,Lilley,4008,209,210,1,Inner Metropolitan
QLD,Lilley,4035,2105,17390,0.12,Inner Metropolitan
QLD,Lilley,4013,3040,3040,1,Inner Metropolitan
QLD,Lilley,4018,4075,7574,0.54,Inner Metropolitan
QLD,Lilley,4031,6452,9442,0.68,Inner Metropolitan
QLD,Lilley,4014,8128,8128,1,Inner Metropolitan
QLD,Lilley,4032,10246,10246,1,Inner Metropolitan
QLD,Lilley,4017,14101,25661,0.55,Inner Metropolitan
QLD,Lilley,4012,14953,14953,1,Inner Metropolitan
QLD,Lilley,4053,19480,31668,0.62,Inner Metropolitan
QLD,Lilley,4034,21811,30533,0.71,Inner Metropolitan
NSW,Lindsay,2765,779,10456,0.07,Outer Metropolitan
NSW,Lindsay,2748,1420,1463,0.97,Outer Metropolitan
NSW,Lindsay,2753,2776,11135,0.25,Outer Metropolitan
NSW,Lindsay,2749,11097,11097,1,Outer Metropolitan
NSW,Lindsay,2745,16640,18806,0.88,Outer Metropolitan
NSW,Lindsay,2760,16721,18597,0.9,Outer Metropolitan
NSW,Lindsay,2747,22187,22420,0.99,Outer Metropolitan
NSW,Lindsay,2750,30385,30385,1,Outer Metropolitan
NT,Lingiari,838,23,23,1,Rural
NT,Lingiari,847,55,55,1,Rural
NT,Lingiari,828,203,658,0.31,Rural
NT,Lingiari,829,207,452,0.46,Rural
NT,Lingiari,845,277,277,1,Rural
NT,Lingiari,853,334,334,1,Rural
NT,Lingiari,830,344,8376,0.04,Rural
NT,Lingiari,846,397,397,1,Rural
NT,Lingiari,840,438,438,1,Rural
NT,Lingiari,837,705,705,1,Rural
NT,Lingiari,885,720,720,1,Rural
NT,Lingiari,854,998,998,1,Rural
NT,Lingiari,841,1018,1018,1,Rural
NT,Lingiari,832,1101,5741,0.19,Rural
NT,Lingiari,862,1116,1116,1,Rural
NT,Lingiari,886,1639,1639,1,Rural
NT,Lingiari,836,2479,2479,1,Rural
NT,Lingiari,835,2605,2605,1,Rural
NT,Lingiari,860,2716,2716,1,Rural
NT,Lingiari,880,3150,3150,1,Rural
NT,Lingiari,850,6002,6002,1,Rural
NT,Lingiari,852,9857,9857,1,Rural
NT,Lingiari,870,13751,13751,1,Rural
NT,Lingiari,872,15360,15360,1,Rural
NT,Lingiari,822,16053,16611,0.97,Rural
QLD,Longman,4552,2,6689,0,Provincial
QLD,Longman,4521,755,3649,0.21,Provincial
QLD,Longman,4512,2287,2287,1,Provincial
QLD,Longman,4516,2744,2744,1,Provincial
QLD,Longman,4514,3828,4196,0.91,Provincial
QLD,Longman,4511,6482,6482,1,Provincial
QLD,Longman,4503,7282,27535,0.26,Provincial
QLD,Longman,4504,11325,11325,1,Provincial
QLD,Longman,4505,12206,14270,0.86,Provincial
QLD,Longman,4506,13812,13812,1,Provincial
QLD,Longman,4507,14538,14538,1,Provincial
QLD,Longman,4510,30837,30837,1,Provincial
NSW,Lyne,2323,20,18361,0,Rural
NSW,Lyne,2354,62,2656,0.02,Rural
NSW,Lyne,2330,95.5,13302,0.01,Rural
NSW,Lyne,2318,160,8071,0.02,Rural
NSW,Lyne,2335,160,3813,0.04,Rural
NSW,Lyne,2415,226,226,1,Rural
NSW,Lyne,2441,287,4796,0.06,Rural
NSW,Lyne,2424,381,381,1,Rural
NSW,Lyne,2426,393,393,1,Rural
NSW,Lyne,2311,499,589,0.85,Rural
NSW,Lyne,2312,1107,1107,1,Rural
NSW,Lyne,2421,1163.5,1288,0.9,Rural
NSW,Lyne,2425,1175,1175,1,Rural
NSW,Lyne,2439,1815,1815,1,Rural
NSW,Lyne,2427,2333,2333,1,Rural
NSW,Lyne,2423,2382,2382,1,Rural
NSW,Lyne,2321,2724,9824,0.28,Rural
NSW,Lyne,2420,3180,3180,1,Rural
NSW,Lyne,2422,4132,4132,1,Rural
NSW,Lyne,2445,4613,4613,1,Rural
NSW,Lyne,2320,6065.5,22320,0.27,Rural
NSW,Lyne,2324,6828,15926,0.43,Rural
NSW,Lyne,2429,6940,6940,1,Rural
NSW,Lyne,2443,7221,7221,1,Rural
NSW,Lyne,2446,9127,9408,0.97,Rural
NSW,Lyne,2428,18315,18315,1,Rural
NSW,Lyne,2430,24555,24555,1,Rural
TAS,Lyons,7011,6,10602,0,Rural
TAS,Lyons,7264,9,517,0.02,Rural
TAS,Lyons,7183,69,69,1,Rural
TAS,Lyons,7275,124,2325,0.05,Rural
TAS,Lyons,7182,194,194,1,Rural
TAS,Lyons,7186,196,196,1,Rural
TAS,Lyons,7213,210,210,1,Rural
TAS,Lyons,7258,245,768,0.32,Rural
TAS,Lyons,7178,247,247,1,Rural
TAS,Lyons,7180,252,252,1,Rural
TAS,Lyons,7179,284,284,1,Rural
TAS,Lyons,7027,289,289,1,Rural
TAS,Lyons,7211,294,294,1,Rural
TAS,Lyons,7176,325,325,1,Rural
TAS,Lyons,7177,329,329,1,Rural
TAS,Lyons,7209,338,338,1,Rural
TAS,Lyons,7214,442,442,1,Rural
TAS,Lyons,7292,504,504,1,Rural
TAS,Lyons,7184,579,579,1,Rural
TAS,Lyons,7291,621,621,1,Rural
TAS,Lyons,7026,634,634,1,Rural
TAS,Lyons,7310,682,20482,0.03,Rural
TAS,Lyons,7210,821,821,1,Rural
TAS,Lyons,7305,882,882,1,Rural
TAS,Lyons,7212,1146,1384,0.83,Rural
TAS,Lyons,7302,1244,1244,1,Rural
TAS,Lyons,7025,1271,1462,0.87,Rural
TAS,Lyons,7120,1481,1481,1,Rural
TAS,Lyons,7290,1665,1665,1,Rural
TAS,Lyons,7303,1823,1823,1,Rural
TAS,Lyons,7171,2474,2474,1,Rural
TAS,Lyons,7300,2534,2534,1,Rural
TAS,Lyons,7190,2540,2540,1,Rural
TAS,Lyons,7172,2689,2689,1,Rural
TAS,Lyons,7215,2707,2707,1,Rural
TAS,Lyons,7216,2758,2758,1,Rural
TAS,Lyons,7306,3011,3011,1,Rural
TAS,Lyons,7301,3231,3231,1,Rural
TAS,Lyons,7017,3320,3917,0.85,Rural
TAS,Lyons,7304,4444,4444,1,Rural
TAS,Lyons,7173,4671,4671,1,Rural
TAS,Lyons,7250,5208,35539,0.15,Rural
TAS,Lyons,7140,7795,7795,1,Rural
TAS,Lyons,7030,11081,12059,0.92,Rural
NSW,Macarthur,2508,8.5,6157,0,Outer Metropolitan
NSW,Macarthur,2556,127.5,1672,0.08,Outer Metropolitan
NSW,Macarthur,2563,171,171,1,Outer Metropolitan
NSW,Macarthur,2564,525,8538,0.06,Outer Metropolitan
NSW,Macarthur,2570,628.5,23509,0.03,Outer Metropolitan
NSW,Macarthur,2559,1432,1432,1,Outer Metropolitan
NSW,Macarthur,2179,1523,3649,0.42,Outer Metropolitan
NSW,Macarthur,2557,2787,3938,0.71,Outer Metropolitan
NSW,Macarthur,2558,7498,7498,1,Outer Metropolitan
NSW,Macarthur,2567,8825,23440,0.38,Outer Metropolitan
NSW,Macarthur,2565,9375,11866,0.79,Outer Metropolitan
NSW,Macarthur,2566,16353,16353,1,Outer Metropolitan
NSW,Macarthur,2560,47291,48569,0.97,Outer Metropolitan
NSW,Mackellar,2105,1397,1397,1,Outer Metropolitan
NSW,Mackellar,2108,1767,1767,1,Outer Metropolitan
NSW,Mackellar,2084,2598,2598,1,Outer Metropolitan
NSW,Mackellar,2104,2686,2686,1,Outer Metropolitan
NSW,Mackellar,2100,3100,13925,0.22,Outer Metropolitan
NSW,Mackellar,2087,3607,8757,0.41,Outer Metropolitan
NSW,Mackellar,2102,4635,4635,1,Outer Metropolitan
NSW,Mackellar,2106,7096,7096,1,Outer Metropolitan
NSW,Mackellar,2085,7859,7859,1,Outer Metropolitan
NSW,Mackellar,2103,7879,7879,1,Outer Metropolitan
NSW,Mackellar,2086,8038,9532,0.84,Outer Metropolitan
NSW,Mackellar,2097,10614,10614,1,Outer Metropolitan
NSW,Mackellar,2107,11248,11248,1,Outer Metropolitan
NSW,Mackellar,2101,13492,13492,1,Outer Metropolitan
NSW,Mackellar,2099,18238,25436,0.72,Outer Metropolitan
NSW,Macquarie,2787,12,2951,0,Provincial
NSW,Macquarie,2775,327.5,1056,0.31,Provincial
NSW,Macquarie,2757,637,637,1,Provincial
NSW,Macquarie,2786,676,755,0.9,Provincial
NSW,Macquarie,2784,942,942,1,Provincial
NSW,Macquarie,2778,1743,1743,1,Provincial
NSW,Macquarie,2783,2152,2152,1,Provincial
NSW,Macquarie,2765,2784,10456,0.27,Provincial
NSW,Macquarie,2776,2869,2869,1,Provincial
NSW,Macquarie,2785,3328,3331,1,Provincial
NSW,Macquarie,2779,3381,3381,1,Provincial
NSW,Macquarie,2754,4036,4036,1,Provincial
NSW,Macquarie,2773,4528,4528,1,Provincial
NSW,Macquarie,2782,4601,4601,1,Provincial
NSW,Macquarie,2758,5988,5988,1,Provincial
NSW,Macquarie,2753,8359,11135,0.75,Provincial
NSW,Macquarie,2780,9094,9094,1,Provincial
NSW,Macquarie,2774,9646,9646,1,Provincial
NSW,Macquarie,2777,12678,12678,1,Provincial
NSW,Macquarie,2756,21604,22726,0.95,Provincial
SA,Makin,5106,12,14,0.86,Outer Metropolitan
SA,Makin,5131,71,676,0.11,Outer Metropolitan
SA,Makin,5110,290,5832,0.05,Outer Metropolitan
SA,Makin,5085,527,12099,0.04,Outer Metropolitan
SA,Makin,5094,575,575,1,Outer Metropolitan
SA,Makin,5090,3366,5899,0.57,Outer Metropolitan
SA,Makin,5126,5462,5462,1,Outer Metropolitan
SA,Makin,5091,5781,5781,1,Outer Metropolitan
SA,Makin,5127,6123,6123,1,Outer Metropolitan
SA,Makin,5093,6617,6617,1,Outer Metropolitan
SA,Makin,5098,8911,8911,1,Outer Metropolitan
SA,Makin,5097,10212,10212,1,Outer Metropolitan
SA,Makin,5109,10305,15029,0.69,Outer Metropolitan
SA,Makin,5096,10514,10514,1,Outer Metropolitan
SA,Makin,5107,11304,11304,1,Outer Metropolitan
SA,Makin,5092,11718,11718,1,Outer Metropolitan
SA,Makin,5095,13229,13229,1,Outer Metropolitan
SA,Makin,5125,14431,14431,1,Outer Metropolitan
VIC,Mallee,3462,12,881,0.01,Rural
VIC,Mallee,3570,28,456,0.06,Rural
VIC,Mallee,3556,39,9640,0,Rural
VIC,Mallee,3463,72,2406,0.03,Rural
VIC,Mallee,3596,86,86,1,Rural
VIC,Mallee,3485,122,122,1,Rural
VIC,Mallee,3509,142,142,1,Rural
VIC,Mallee,3413,151,151,1,Rural
VIC,Mallee,3312,152,658,0.23,Rural
VIC,Mallee,3542,157,157,1,Rural
VIC,Mallee,3412,162,162,1,Rural
VIC,Mallee,3391,170,170,1,Rural
VIC,Mallee,3469,174,322,0.54,Rural
VIC,Mallee,3520,185,185,1,Rural
VIC,Mallee,3588,186,186,1,Rural
VIC,Mallee,3385,190,457,0.42,Rural
VIC,Mallee,3591,199,199,1,Rural
VIC,Mallee,3468,200,200,1,Rural
VIC,Mallee,3420,204,204,1,Rural
VIC,Mallee,3581,223,223,1,Rural
VIC,Mallee,3475,233,233,1,Rural
VIC,Mallee,3531,233,233,1,Rural
VIC,Mallee,3573,234,361,0.65,Rural
VIC,Mallee,3530,236,236,1,Rural
VIC,Mallee,3590,236,236,1,Rural
VIC,Mallee,3589,239,239,1,Rural
VIC,Mallee,3571,239,239,1,Rural
VIC,Mallee,3387,239,239,1,Rural
VIC,Mallee,3319,241,241,1,Rural
VIC,Mallee,3544,242,242,1,Rural
VIC,Mallee,3317,245,245,1,Rural
VIC,Mallee,3540,257,257,1,Rural
VIC,Mallee,3491,283,283,1,Rural
VIC,Mallee,3507,295,295,1,Rural
VIC,Mallee,3546,298,298,1,Rural
VIC,Mallee,3594,303,303,1,Rural
VIC,Mallee,3477,304,304,1,Rural
VIC,Mallee,3482,323,323,1,Rural
VIC,Mallee,3494,357,357,1,Rural
VIC,Mallee,3567,379,379,1,Rural
VIC,Mallee,3388,402,402,1,Rural
VIC,Mallee,3595,409,409,1,Rural
VIC,Mallee,3512,410,410,1,Rural
VIC,Mallee,3597,417,417,1,Rural
VIC,Mallee,3423,440,440,1,Rural
VIC,Mallee,3396,458,458,1,Rural
VIC,Mallee,3516,459,580,0.79,Rural
VIC,Mallee,3395,469,469,1,Rural
VIC,Mallee,3392,492,492,1,Rural
VIC,Mallee,3483,511,511,1,Rural
VIC,Mallee,3424,531,531,1,Rural
VIC,Mallee,3551,557,21693,0.03,Rural
VIC,Mallee,3586,560,560,1,Rural
VIC,Mallee,3575,596,596,1,Rural
VIC,Mallee,3527,597,597,1,Rural
VIC,Mallee,3533,614,614,1,Rural
VIC,Mallee,3384,629,629,1,Rural
VIC,Mallee,3580,659,659,1,Rural
VIC,Mallee,3318,691,691,1,Rural
VIC,Mallee,3390,730,730,1,Rural
VIC,Mallee,3419,772,772,1,Rural
VIC,Mallee,3490,795,795,1,Rural
VIC,Mallee,3409,817,817,1,Rural
VIC,Mallee,3584,862,862,1,Rural
VIC,Mallee,3537,886,886,1,Rural
VIC,Mallee,3464,959,959,1,Rural
VIC,Mallee,3525,969,969,1,Rural
VIC,Mallee,3371,970,970,1,Rural
VIC,Mallee,3518,1034,1034,1,Rural
VIC,Mallee,3467,1041,1041,1,Rural
VIC,Mallee,3472,1191,1191,1,Rural
VIC,Mallee,3517,1223,1223,1,Rural
VIC,Mallee,3480,1267,1267,1,Rural
VIC,Mallee,3414,1273,1273,1,Rural
VIC,Mallee,3501,1326,1326,1,Rural
VIC,Mallee,3549,1857,1857,1,Rural
VIC,Mallee,3393,1971,1971,1,Rural
VIC,Mallee,3418,2062,2062,1,Rural
VIC,Mallee,3568,2305,2305,1,Rural
VIC,Mallee,3478,2369,2369,1,Rural
VIC,Mallee,3401,3344,3344,1,Rural
VIC,Mallee,3505,3373,3373,1,Rural
VIC,Mallee,3498,3581,3581,1,Rural
VIC,Mallee,3579,3970,3970,1,Rural
VIC,Mallee,3496,4250,4250,1,Rural
VIC,Mallee,3465,6986,6986,1,Rural
VIC,Mallee,3585,7786,7786,1,Rural
VIC,Mallee,3400,11095,11095,1,Rural
VIC,Mallee,3500,22853,22853,1,Rural
QLD,Maranoa,4404,50,241,0.21,Rural
QLD,Maranoa,4462,97,97,1,Rural
QLD,Maranoa,4427,103,103,1,Rural
QLD,Maranoa,4375,113,113,1,Rural
QLD,Maranoa,4498,115,115,1,Rural
QLD,Maranoa,4494,142,142,1,Rural
QLD,Maranoa,4424,155,155,1,Rural
QLD,Maranoa,4353,157,313,0.5,Rural
QLD,Maranoa,4358,159,1584,0.1,Rural
QLD,Maranoa,4829,160,422,0.38,Rural
QLD,Maranoa,4372,160,160,1,Rural
QLD,Maranoa,4731,173,173,1,Rural
QLD,Maranoa,4727,189,189,1,Rural
QLD,Maranoa,4728,200,200,1,Rural
QLD,Maranoa,4488,210,210,1,Rural
QLD,Maranoa,4402,211,213,0.99,Rural
QLD,Maranoa,4425,214,214,1,Rural
QLD,Maranoa,4492,221,221,1,Rural
QLD,Maranoa,4468,224,224,1,Rural
QLD,Maranoa,4608,229,661,0.35,Rural
QLD,Maranoa,4496,231,231,1,Rural
QLD,Maranoa,4481,237,237,1,Rural
QLD,Maranoa,4376,237,237,1,Rural
QLD,Maranoa,4733,248,249,1,Rural
QLD,Maranoa,4412,251,251,1,Rural
QLD,Maranoa,4411,260,260,1,Rural
QLD,Maranoa,4497,266,266,1,Rural
QLD,Maranoa,4360,267,387,0.69,Rural
QLD,Maranoa,4416,275,275,1,Rural
QLD,Maranoa,4382,300,300,1,Rural
QLD,Maranoa,4374,312,312,1,Rural
QLD,Maranoa,4365,324,324,1,Rural
QLD,Maranoa,4383,332,332,1,Rural
QLD,Maranoa,4381,338,338,1,Rural
QLD,Maranoa,4407,348,434,0.8,Rural
QLD,Maranoa,4377,357,357,1,Rural
QLD,Maranoa,4378,378,378,1,Rural
QLD,Maranoa,4388,389,389,1,Rural
QLD,Maranoa,4726,401,401,1,Rural
QLD,Maranoa,4724,406,406,1,Rural
QLD,Maranoa,4478,412,412,1,Rural
QLD,Maranoa,4486,436,436,1,Rural
QLD,Maranoa,4477,441,441,1,Rural
QLD,Maranoa,4422,458,458,1,Rural
QLD,Maranoa,4417,520,520,1,Rural
QLD,Maranoa,4371,547,547,1,Rural
QLD,Maranoa,4735,591,591,1,Rural
QLD,Maranoa,4480,591,591,1,Rural
QLD,Maranoa,4454,621,621,1,Rural
QLD,Maranoa,4428,641,641,1,Rural
QLD,Maranoa,4408,672,672,1,Rural
QLD,Maranoa,4419,688,688,1,Rural
QLD,Maranoa,4410,860,860,1,Rural
QLD,Maranoa,4373,910,910,1,Rural
QLD,Maranoa,4614,913,913,1,Rural
QLD,Maranoa,4385,921,921,1,Rural
QLD,Maranoa,4387,985,985,1,Rural
QLD,Maranoa,4406,1028,1033,1,Rural
QLD,Maranoa,4472,1064,1064,1,Rural
QLD,Maranoa,4465,1122,1122,1,Rural
QLD,Maranoa,4725,1150,1150,1,Rural
QLD,Maranoa,4352,1173,19894,0.06,Rural
QLD,Maranoa,4490,1180,1180,1,Rural
QLD,Maranoa,4415,1223,1223,1,Rural
QLD,Maranoa,4421,1366,1366,1,Rural
QLD,Maranoa,4306,1645,24310,0.07,Rural
QLD,Maranoa,4361,1696,1696,1,Rural
QLD,Maranoa,4357,1721,1721,1,Rural
QLD,Maranoa,4362,2080,2080,1,Rural
QLD,Maranoa,4487,2100,2100,1,Rural
QLD,Maranoa,4355,2166,2178,0.99,Rural
QLD,Maranoa,4730,2210,2210,1,Rural
QLD,Maranoa,4470,2263,2263,1,Rural
QLD,Maranoa,4390,4516,4516,1,Rural
QLD,Maranoa,4413,4831,4831,1,Rural
QLD,Maranoa,4615,4833,4833,1,Rural
QLD,Maranoa,4455,5494,5494,1,Rural
QLD,Maranoa,4380,5787,5787,1,Rural
QLD,Maranoa,4405,9319,9329,1,Rural
QLD,Maranoa,4610,9858,10391,0.95,Rural
QLD,Maranoa,4370,12680,12680,1,Rural
VIC,Maribyrnong,3043,2116,12948,0.16,Inner Metropolitan
VIC,Maribyrnong,3031,4997,12484,0.4,Inner Metropolitan
